DATETIME,TA,RH,VW,ISWR,RSWR,ILWR,TSS,PSUM,HS,TSG
,C,%,M/S,W/M2,W/M2,W/M2,C,MM,MM,C
2020-10-10T07:00:00,12.14,21.93,0.99,0,3.94,232.3,3.13,423.926,155.956,6.66
2020-10-10T08:00:00,12.47,20.16,0.91,0,4.28,232.8,3.09,423.926,160.02,6.26
2020-10-10T09:00:00,12.75,20.81,0.78,0,4.58,235.6,3.61,423.672,37.084,6.09
2020-10-10T10:00:00,12.67,21.74,0.95,0,3.86,234.6,3.84,423.672,20.066,6.13
2020-10-10T11:00:00,12.4,20.32,0.85,0,0,229.9,3.79,423.672,9.906,6.07
2020-10-10T12:00:00,11.92,22.44,0.83,0,0,233.7,3.78,423.418,36.068,6.05
2020-10-10T13:00:00,11.4,24.17,0.55,0,0,238.7,3.02,423.418,21.082,5.64
2020-10-10T14:00:00,10.63,25.38,0.49,0,0,240.6,2.6,423.418,27.94,5.38
2020-10-10T15:00:00,10.6,24.63,0.54,25.07,4.44,259.1,3.88,423.164,30.988,5.37
2020-10-10T16:00:00,11.41,25.45,0.72,99.7,16.52,243.2,6.12,423.164,11.938,6.27
2020-10-10T17:00:00,12.59,29.25,0.96,154.8,24.45,281.6,10.96,423.164,8.89,8.56
2020-10-10T18:00:00,12.19,31.07,0.77,140.2,20.82,311.9,13.04,423.164,11.938,10.61
2020-10-10T19:00:00,11.97,34.14,0.52,123.2,16.82,328.4,13.83,423.164,21.082,11.82
2020-10-10T20:00:00,10.48,54.03,1.34,77.69,10.42,330.3,11.86,423.164,72.898,11.88
2020-10-10T21:00:00,5.53,93,0.93,52.81,8.67,339.7,7.56,423.164,5.08,10.48
2020-10-10T22:00:00,5.3,99.8,1.1,28.56,3.74,337.5,6.49,426.974,2.032,8.72
2020-10-10T23:00:00,6.18,100,1.5,18.75,1.99,342.3,6.74,431.546,0,7.75
2020-10-11T00:00:00,6.16,100,1.45,10.37,1.12,342.1,6.57,435.61,25.908,7.55
2020-10-11T01:00:00,5.98,100,1.33,3.53,0.37,341.3,6.31,438.404,19.05,7.37
2020-10-11T02:00:00,5.28,100,1.17,0,0.16,337.5,5.64,440.69,20.066,7.01
2020-10-11T03:00:00,5.08,100,2.44,0,0,337.1,5.34,442.976,10.922,6.72
2020-10-11T04:00:00,1.89,99.5,3.48,0,0.55,314.7,2.08,446.532,4.064,4.73
2020-10-11T05:00:00,2.51,88,2.68,1.22,1.11,295.2,1.78,446.532,4.064,4.03
2020-10-11T06:00:00,1.78,99.2,1.63,0,0.92,283.6,1.39,446.532,1.016,3.54
2020-10-11T07:00:00,1.58,97.1,1.96,0,0.43,302.9,1.73,446.278,0,3.5
2020-10-11T08:00:00,1.43,100,2.04,0,0.36,303.7,1.72,446.278,0,3.39
2020-10-11T09:00:00,1.1,97.3,2.27,0,0.31,300,1.42,446.024,0,3.24
2020-10-11T10:00:00,0.78,100,2.73,0,0.23,312.7,1.32,446.024,0,2.94
2020-10-11T11:00:00,0.94,100,2.57,0,0,312.4,1.43,446.024,0,2.96
2020-10-11T12:00:00,0.3,100,2.06,0,0,302.1,0.97,445.77,0,2.82
2020-10-11T13:00:00,-0.31,100,2.08,0,0,286.4,0.23,445.77,0,2.37
2020-10-11T14:00:00,-0.57,100,1.87,0,0,257.7,-0.65,445.516,0,1.75
2020-10-11T15:00:00,-0.5,97.9,1.59,33.2,3,295.8,0.52,445.516,0,1.85
2020-10-11T16:00:00,-0.44,96.1,1.28,46.28,5.36,302,1.21,445.516,1.016,2.26
2020-10-11T17:00:00,0.27,95.2,1.31,151.6,18.15,300.5,3.33,445.516,0,3.31
2020-10-11T18:00:00,1.05,97.3,0.99,171,19.37,304.2,5.11,445.516,14.986,4.97
2020-10-11T19:00:00,1.83,90.1,1.2,261,28.79,296.7,6.04,445.516,19.05,5.66
2020-10-11T20:00:00,4.08,84.7,1,414.8,43.93,290.6,9.07,445.77,36.068,7.61
